Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
Grid Resource Availability Prediction-Based Scheduling and Task Replication,Journal of Grid Computing,,,,10.1007/s10723-009-9135-2,Brent RoodMichael J. Lewis,2009,https://link.springer.com/article/10.1007/s10723-009-9135-2,Article
Replica-Aware Job Scheduling in Distributed Systems,Advances in Grid and Pervasive Computing,,,,10.1007/978-3-642-13067-0_32,Wei-Cheng LiaoJan-Jan Wu,2010,https://link.springer.com/chapter/10.1007/978-3-642-13067-0_32,Conference paper
From Static Domains to Graph Decomposition for Heterogeneous Cluster Programming,High Performance Computing on Vector Systems 2009,,,,10.1007/978-3-642-03913-3_11,C. B. NavarreteE. Anguiano,2010,https://link.springer.com/chapter/10.1007/978-3-642-03913-3_11,Conference paper
When Huge Is Routine: Scaling Genetic Algorithms and Estimation of Distribution Algorithms via Data-Intensive Computing,Parallel and Distributed Computational Intelligence,,,,10.1007/978-3-642-10675-0_2,Xavier LloràAbhishek VermaRoy H. CampbellDavid E. Goldberg,2010,https://link.springer.com/chapter/10.1007/978-3-642-10675-0_2,Chapter
Replica Management for National Data Storage,Parallel Processing and Applied Mathematics,,,,10.1007/978-3-642-14403-5_20,Renata SłotaDarin NikolowMarcin KutaMariusz KapanowskiKornel SkałkowskiMarek PogodaJacek Kitowski,2010,https://link.springer.com/chapter/10.1007/978-3-642-14403-5_20,Conference paper
Optimum simultaneous discretization with data grid models in supervised classification: a Bayesian model selection approach,Advances in Data Analysis and Classification,,,,10.1007/s11634-009-0038-7,Marc Boullé,2009,https://link.springer.com/article/10.1007/s11634-009-0038-7,Article
Algorithms for optimal dyadic decision trees,Machine Learning,,,,10.1007/s10994-010-5167-x,Don HushReid Porter,2010,https://link.springer.com/article/10.1007/s10994-010-5167-x,Article
@Flood: Auto-Tunable Flooding for Wireless Ad Hoc Networks,Euro-Par 2010 - Parallel Processing,,,,10.1007/978-3-642-15291-7_45,José MocitoLuís RodriguesHugo Miranda,2010,https://link.springer.com/chapter/10.1007/978-3-642-15291-7_45,Conference paper
GRASP Algorithm for Optimization of Grids for Multiple Classifier System,"Soft Computing Models in Industrial and Environmental Applications, 5th International Workshop (SOCO 2010)",,,,10.1007/978-3-642-13161-5_18,Tomasz KacprzakKrzysztof WalkowiakMichał Woźniak,2010,https://link.springer.com/chapter/10.1007/978-3-642-13161-5_18,Conference paper
Architecture of Peer-to-Peer Systems,Peer-to-Peer Computing,,,,10.1007/978-3-642-03514-2_2,Quang Hieu VuMihai LupuBeng Chin Ooi,2010,https://link.springer.com/chapter/10.1007/978-3-642-03514-2_2,Chapter
Efficient methods for formally verifying safety properties of hierarchical cache coherence protocols,Formal Methods in System Design,,,,10.1007/s10703-010-0092-y,Xiaofang ChenYu YangGanesh GopalakrishnanChing-Tsun Chou,2010,https://link.springer.com/article/10.1007/s10703-010-0092-y,Article
Data Capture,Springer Handbook of Geographic Information,,,,10.1007/978-3-540-72680-7_9,Michael CramerWolfgang KresseJan SkaloudNorbert HaalaSilvia NittelJan O. Wallgrün,2011,https://link.springer.com/chapter/10.1007/978-3-540-72680-7_9,Chapter
A Dynamic Bridge for Data Sharing on e-Science Grid Implementing Web 2.0 Service,Future Application and Middleware Technology on e-Science,,,,10.1007/978-1-4419-1719-5_8,Im Y. JungHeon Y. Yeom,2010,https://link.springer.com/chapter/10.1007/978-1-4419-1719-5_8,Conference paper
Robot Mapping,Hierarchical Voronoi Graphs,,,,10.1007/978-3-642-10345-2_2,Jan Oliver Wallgrün,2010,https://link.springer.com/chapter/10.1007/978-3-642-10345-2_2,Chapter
Dynamic replication strategies in data grid,Wuhan University Journal of Natural Sciences,,,,10.1007/s11859-008-0412-x,Xiaohua DongZhongfu Wu,2008,https://link.springer.com/article/10.1007/s11859-008-0412-x,Article
Adaptive Multiscale Methods for Flow Problems: Recent Developments,Summary of Flow Modulation and Fluid-Structure Interaction Findings,,,,10.1007/978-3-642-04088-7_4,Wolfgang DahmenNune HovhannisyanSiegfried Müller,2010,https://link.springer.com/chapter/10.1007/978-3-642-04088-7_4,Conference paper
Performance-based data distribution for data mining applications on grid computing environments,The Journal of Supercomputing,,,,10.1007/s11227-009-0286-5,Wen-Chung ShihChao-Tung YangShian-Shyong Tseng,2009,https://link.springer.com/article/10.1007/s11227-009-0286-5,Article
Evolution of Query Optimization Methods: From Centralized Database Systems to Data Grid Systems,Database and Expert Systems Applications,,,,10.1007/978-3-642-03573-9_40,Abdelkader Hameurlain,2009,https://link.springer.com/chapter/10.1007/978-3-642-03573-9_40,Conference paper
"Parallel, Distributed, and Grid Computing",Hagenberg Research,,,,10.1007/978-3-642-02127-5_8,Wolfgang SchreinerKároly BósaAndreas LangeggerThomas LeitnerBernhard MoserSzilárd PállVolkmar WieserWolfram Wöß,2009,https://link.springer.com/chapter/10.1007/978-3-642-02127-5_8,Chapter
Beyond Music Sharing: An Evaluation of Peer-to-Peer Data Dissemination Techniques in Large Scientific Collaborations,Journal of Grid Computing,,,,10.1007/s10723-008-9113-0,Samer Al-KiswanyMatei RipeanuAdriana IamnitchiSudharshan Vazhkudai,2008,https://link.springer.com/article/10.1007/s10723-008-9113-0,Article
Research on the Trust-Adaptive Scheduling for Data-Intensive Applications on Data Grids,Web Information Systems and Mining,,,,10.1007/978-3-642-05250-7_60,Wei LiuWei Du,2009,https://link.springer.com/chapter/10.1007/978-3-642-05250-7_60,Conference paper
"Parallel and Grid-Based Data Mining – Algorithms, Models and Systems for High-Performance KDD",Data Mining and Knowledge Discovery Handbook,,,,10.1007/978-0-387-09823-4_53,Antonio CongiustaDomenico TaliaPaolo Trunfio,2009,https://link.springer.com/chapter/10.1007/978-0-387-09823-4_53,Chapter
Steady-State for Batches of Identical Task Trees,Euro-Par 2009 Parallel Processing,,,,10.1007/978-3-642-03869-3_22,Sékou DiakitéLoris MarchalJean-Marc NicodLaurent Philippe,2009,https://link.springer.com/chapter/10.1007/978-3-642-03869-3_22,Conference paper
Evolution of Query Optimization Methods,Transactions on Large-Scale Data- and Knowledge-Centered Systems I,,,,10.1007/978-3-642-03722-1_9,Abdelkader HameurlainFranck Morvan,2009,https://link.springer.com/chapter/10.1007/978-3-642-03722-1_9,Chapter
